name;Gene ID;patterns
miR156f;AT5G26147.1;BTL
miR158b;AT1G55591.1;BTL
miR161;AT1G48267.1;BTL
miR165a;AT1G01183.1;BTL
miR166f;AT5G43603.1;BTL
miR166g;AT5G63715.1;BTL
miR167a;AT3G22886.1;BTL
miR167c;AT3G04765.1;BTL
miR167d;AT1G31173.1;BTL
miR168b;AT5G45307.1;BTL
miR169a;AT3G13405.1;BTL
miR170;AT5G66045.1;BTL
miR172b;AT5G04275.1;BTL
miR173;AT3G23125.1;BTL
miR393b;AT3G55734.1;BTL
miR395b;AT1G26975.1;BTL
miR395f;AT1G69797.1;BTL
miR397a;AT4G05105.1;BTL
miR397b;AT4G13555.1;BTL
miR399a;AT1G29265.1;BTL
miR399b;AT1G63005.1;BTL
miR399d;AT2G34202.1;BTL
miR399f;AT2G34208.1;BTL
miR776;AT1G61732.1;BTL
miR777;AT1G70645.1;BTL
miR780a;AT4G14811.1;BTL
miR827;AT3G59884.1;BTL
miR831;AT2G24103.1;BTL
miR847;AT1G07051.1;BTL
miR851a;AT3G53016.1;BTL
miR857a;AT4G13554.1;BTL
miR859;AT1G60072.1;BTL
miR864;AT1G19464.1;BTL
miR867;AT4G21362.1;BTL
miR4240;AT4G06915.1;BTL
miR5013;AT2G06665.1;BTL
miR5020b;AT4G05855.1;BTL
miR163;AT1G66725.1;SBTL
miR169b;AT5G24825.1;SBTL
miR169c;AT5G39635.1;SBTL
miR169f;AT3G14385.1;SBTL
miR169g;AT4G21595.1;SBTL
miR169i;AT3G26812.1;SBTL
miR169j;AT3G26813.1;SBTL
miR169L;AT3G26816.1;SBTL
miR169m;AT3G26818.1;SBTL
miR169n;AT3G26819.1;SBTL
miR394a;AT1G20375.1;SBTL
miR402;AT1G77235.1;SBTL
miR447b;AT4G03455.1;SBTL
miR822;AT5G03552.1;SBTL
miR823;AT3G13724.1;SBTL
miR845a;AT4G23387.1;SBTL
miR156a;AT2G25095.1;LTB
miR156b;AT4G30972.1;LTB
miR156c;AT4G31877.1;LTB
miR156d;AT5G10945.1;LTB
miR156e;AT5G11977.1;LTB
miR156h;AT5G55835.1;LTB
miR159c;AT2G46255.1;LTB
miR160a;AT2G39175.1;LTB
miR160b;AT4G17788.1;LTB
miR160c;AT5G46845.1;LTB
miR162a;AT5G08185.1;LTB
miR171b;AT1G11735.1;LTB
miR171c;AT1G62035.1;LTB
miR390b;AT5G58465.1;LTB
miR395d;AT1G69792.1;LTB
miR400;AT1G32582.1;LTB
miR408;AT2G47015.1;LTB
miR775;AT1G78206.1;LTB
miR779;AT2G22496.1;LTB
miR833a;AT1G78478.1;LTB
miR841a;AT4G13564.1;LTB
miR848a;AT5G13887.1;LTB
miR849a;AT3G44444.1;LTB
miR852;AT4G14504.1;LTB
miR853;AT3G23326.1;LTB
miR1888a;AT5G03305.1;LTB
miR2112;AT1G04027.1;LTB
miR3440b;AT3G03625.1;LTB
miR4245;AT5G07875.1;LTB
miR5012;AT2G07205.1;LTB
miR5017;AT4G07100.1;LTB
miR5021;AT2G08235.1;LTB
miR5026;AT4G06075.1;LTB
miR5028;AT4G05800.1;LTB
miR5634;AT4G08335.1;LTB
miR5637;AT2G08275.1;LTB
miR5640;AT1G04393.1;LTB
miR5654;AT1G06597.1;LTB
miR159a;AT1G73687.1;SLTB
miR159b;AT1G18075.1;SLTB
miR319a;AT4G23713.1;SLTB
miR319b;AT5G41663.1;SLTB
miR319c;AT2G40805.1;SLTB
miR835a;AT1G76062.1;SLTB
miR839a;AT1G67481.1;SLTB
miR840a;AT2G02741.1;SLTB
miR856;AT1G32992.1;SLTB
miR869a;AT5G39693.1;SLTB
miR1888b;AT3G09515.1;SLTB
miR5024;AT1G07243.1;SLTB
miR5656;AT1G04423.1;SLTB
miR157c;AT3G18217.1;Bidirectional
miR158a;AT3G10745.1;Bidirectional
miR162b;AT5G23065.1;Bidirectional
miR164b;AT5G01747.1;Bidirectional
miR164c;AT5G27807.1;Bidirectional
miR165b;AT4G00885.1;Bidirectional
miR166a;AT2G46685.1;Bidirectional
miR166b;AT3G61897.1;Bidirectional
miR166e;AT5G41905.1;Bidirectional
miR167b;AT3G63375.1;Bidirectional
miR168a;AT4G19395.1;Bidirectional
miR169d;AT1G53683.1;Bidirectional
miR169e;AT1G53687.1;Bidirectional
miR171a;AT3G51375.1;Bidirectional
miR172a;AT2G28056.1;Bidirectional
miR172c;AT3G11435.1;Bidirectional
miR172d;AT3G55512.1;Bidirectional
miR172e;AT5G59505.1;Bidirectional
miR390a;AT2G38325.1;Bidirectional
miR391;AT5G60408.1;Bidirectional
miR393a;AT2G39885.1;Bidirectional
miR394b;AT1G76135.1;Bidirectional
miR395a;AT1G26973.1;Bidirectional
miR395c;AT1G26985.1;Bidirectional
miR396a;AT2G10606.1;Bidirectional
miR396b;AT5G35407.1;Bidirectional
miR398a;AT2G03445.1;Bidirectional
miR398b;AT5G14545.1;Bidirectional
miR398c;AT5G14565.1;Bidirectional
miR403;AT2G47275.1;Bidirectional
miR472a;AT1G12294.1;Bidirectional
miR771a;AT3G53015.1;Bidirectional
miR781a;AT1G21202.1;Bidirectional
miR824;AT4G24415.1;Bidirectional
miR825;AT2G26211.1;Bidirectional
miR828;AT4G27765.1;Bidirectional
miR844a;AT2G23347.1;Bidirectional
miR868;AT3G18827.1;Bidirectional
miR2111a;AT3G09285.1;Bidirectional
miR3933;AT5G05915.1;Bidirectional
miR5014a;AT1G08793.1;Bidirectional
miR5995b;AT2G07915.1;Bidirectional
miR8183;AT3G05985.1;Bidirectional
