name,base_one,miRNA_one,loop,miRNA_two,base_two,patterns
miR156e,3867188,3867213,3867233,3867290,3867311,LTB
miR156h,22597131,22597106,22597086,22597040,22597019,LTB
miR158b,20772205,20772230,20772252,20772273,20772293,BTL
miR159a,27713437,27713412,27713391,27713254,27713233,SLTB
miR159c,18994619,18994644,18994664,18994826,18994847,LTB
miR160b,9888961,9888986,9889007,9889047,9889069,LTB
miR161.1,17825706,17825731,17825752,17825800,17825821,BTL
miR161.2,17825697,17825722,17825743,17825809,17825830,BTL
miR163,24884057,24884082,24884103,24884359,24884383,SBTL
miR165b,370013,369988,369967,369876,369855,Bidirectional
miR166f,17516285,17516310,17516331,17516378,17516399,BTL
miR166g,25504790,25504815,25504836,25504882,25504903,BTL
miR167b,23406152,23406177,23406198,23406247,23406270,Bidirectional
miR167d,11137531,11137556,11137578,11137879,11137900,BTL
miR169c,15870913,15870888,15870867,15870692,15870671,SBTL
miR169d,20039601,20039576,20039555,20039518,20039497,Bidirectional
miR169e,20041561,20041586,20041607,20041642,20041663,Bidirectional
miR169i,9872151,9872126,9872105,9872016,9871997,SBTL
miR169j,9872528,9872503,9872482,9872373,9872354,SBTL
miR169l,9876085,9876060,9876039,9875929,9875910,SBTL
miR169m,9878363,9878338,9878317,9878226,9878207,SBTL
miR169n,9878735,9878710,9878689,9878579,9878560,SBTL
miR172a,11943035,11943010,11942989,11942938,11942917,Bidirectional
miR172c,3599915,3599890,3599869,3599811,3599790,Bidirectional
miR1888a,7168854,7168879,7168900,7168944,7168965,LTB
miR1888b,22537283,22537308,22537329,22537375,22537396,SLTB
miR319a,12352935,12352960,12352981,12353109,12353130,SLTB
miR319b,16660662,16660637,16660616,16660489,16660468,SLTB
miR319c,17029687,17029712,17029733,17029870,17029891,SLTB
miR3933,15758086,15758111,15758132,15758168,15758189,Bidirectional
miR394a,7058182,7058207,7058227,7058279,7058299,SBTL
miR395a,9363300,9363275,9363254,9363226,9363205,Bidirectional
miR395b,9364458,9364483,9364504,9364540,9364561,BTL
miR395c,9367067,9367092,9367113,9367149,9367170,Bidirectional
miR395d,26270090,26270065,26270044,26270009,26269988,LTB
miR395f,26273845,26273870,26273891,26273939,26273960,BTL
miR397a,2625935,2625960,2625981,2626028,2626049,BTL
miR397b,7878775,7878750,7878729,7878679,7878658,BTL
miR399a,10227060,10227085,10227107,10227165,10227186,BTL
miR399b,23345523,23345498,23345477,23345407,23345386,BTL
miR399d,14443089,14443064,14443042,14443008,14442987,BTL
miR399f,14444984,14445009,14445031,14445084,14445105,BTL
miR400,11785922,11785947,11785968,11786006,11786027,LTB
miR402,29016561,29016586,29016608,29016764,29016785,SBTL
miR4240,10711757,10711732,10711711,10711607,10711586,BTL
miR4245,21161485,21161510,21161531,21161609,21161630,LTB
miR447b,1535627,1535602,1535581,1535503,1535481,SBTL
miR5012,8432662,8432687,8432708,8432747,8432768,LTB
miR5013,7166843,7166868,7166889,7166910,7166931,BTL
miR5020b,6787153,6787128,6787107,6787044,6787023,BTL
miR5021,11974866,11974841,11974821,11974762,11974740,LTB
miR5026,7844527,7844552,7844573,7844612,7844633,LTB
miR5028,6546814,6546789,6546768,6546701,6546680,LTB
miR5634,14982297,14982322,14982343,14982525,14982546,LTB
miR5637,12270386,12270361,12270340,12270209,12270187,LTB
miR5640,1653584,1653559,1653538,1653303,1653282,LTB
miR5656,1727284,1727309,1727330,1727351,1727372,SLTB
miR5995b,10026954,10026979,10027000,10027012,10027033,Bidirectional
miR771,19659427,19659402,19659380,19659331,19659310,Bidirectional
miR775,29422438,29422463,29422482,29422546,29422566,LTB
miR776,22795612,22795637,22795657,22795699,22795720,BTL
miR777,26637980,26638005,26638026,26638083,26638105,BTL
miR779.1,9560739,9560764,9560784,9560902,9560923,LTB
miR779.2,9560779,9560804,9560826,9560866,9560887,LTB
miR780.1,8504310,8504285,8504264,8504186,8504165,BTL
miR780.2,8504332,8504307,8504285,8504165,8504144,BTL
miR781a,7423498,7423523,7423544,7423587,7423609,Bidirectional
miR8183,11747844,11747819,11747798,11747744,11747723,Bidirectional
miR823,4496936,4496911,4496890,4496846,4496825,SBTL
miR825,11159688,11159713,11159735,11159774,11159795,Bidirectional
miR827,22122907,22122882,22122861,22122831,22122810,BTL
miR828,13846995,13847020,13847042,13847093,13847115,Bidirectional
miR839,25279183,25279158,25279137,25279011,25278989,SLTB
miR845a,12217539,12217514,12217493,12217477,12217456,SBTL
miR847,2165545,2165570,2165591,2165675,2165696,BTL
miR848,4479561,4479536,4479515,4479469,4479447,LTB
miR849,16072608,16072583,16072562,16072520,16072499,LTB
miR852,8336194,8336219,8336240,8336302,8336323,LTB
miR853,8346391,8346416,8346438,8346589,8346610,LTB
miR856,11957462,11957487,11957509,11957689,11957710,SLTB
miR857,7878570,7878545,7878524,7878218,7878197,BTL
miR859,22149710,22149735,22149756,22149808,22149829,BTL
miR867,11375362,11375387,11375408,11375439,11375460,BTL
miR869.1,15891848,15891823,15891802,15891645,15891624,SLTB
miR869.2,15891859,15891834,15891813,15891634,15891613,SLTB
