name,region,num_SNPs,type,length
miR156a,base_one,4,LTB,25
miR156b,base_one,0,LTB,25
miR156c,base_one,1,LTB,25
miR156d,base_one,13,LTB,25
miR156f,base_one,113,BTL,25
miR157c,base_one,0,Bidirectional,25
miR158a,base_one,221,Bidirectional,25
miR159b,base_one,16,SLTB,25
miR160a,base_one,178,LTB,25
miR160c,base_one,0,LTB,25
miR162a,base_one,1,LTB,25
miR162b,base_one,3,Bidirectional,25
miR164b,base_one,0,Bidirectional,25
miR164c,base_one,5,Bidirectional,25
miR165a,base_one,1,BTL,25
miR166a,base_one,2,Bidirectional,25
miR166b,base_one,116,Bidirectional,25
miR166e,base_one,0,Bidirectional,25
miR167a,base_one,0,BTL,25
miR167c,base_one,0,BTL,25
miR168a,base_one,4,Bidirectional,25
miR168b,base_one,19,BTL,25
miR169a,base_one,1,BTL,25
miR169b,base_one,2,SBTL,25
miR169f,base_one,1,SBTL,25
miR169g,base_one,10,SBTL,25
miR170,base_one,1,BTL,25
miR171a,base_one,5,Bidirectional,25
miR171b,base_one,2,LTB,25
miR171c,base_one,103,LTB,25
miR172b,base_one,9,BTL,25
miR172d,base_one,0,Bidirectional,25
miR172e,base_one,7,Bidirectional,25
miR173,base_one,1124,BTL,25
miR2111a,base_one,21,Bidirectional,25
miR2112,base_one,54,LTB,25
miR3440b,base_one,673,LTB,25
miR390a,base_one,0,Bidirectional,25
miR390b,base_one,0,LTB,25
miR391,base_one,278,Bidirectional,25
miR393a,base_one,1,Bidirectional,25
miR393b,base_one,0,BTL,25
miR394b,base_one,311,Bidirectional,25
miR396a,base_one,40,Bidirectional,25
miR396b,base_one,1,Bidirectional,25
miR398a,base_one,1,Bidirectional,25
miR398b,base_one,1,Bidirectional,25
miR398c,base_one,1,Bidirectional,25
miR403,base_one,1,Bidirectional,25
miR408,base_one,5,LTB,25
miR5014a,base_one,122,Bidirectional,25
miR5017,base_one,8,LTB,25
miR5024,base_one,468,SLTB,25
miR5654,base_one,39,LTB,25
miR822,base_one,188,SBTL,25
miR824,base_one,5,Bidirectional,25
miR831,base_one,7,BTL,25
miR833a,base_one,1,LTB,25
miR841a,base_one,206,LTB,25
miR864,base_one,0,BTL,25
miR868,base_one,229,Bidirectional,25
miR851,base_one,1055,BTL,25
miR835,base_one,1,SLTB,25
miR840,base_one,331,SLTB,25
miR472,base_one,165,Bidirectional,25
miR844,base_one,0,Bidirectional,25
miR156a,miRNA_one,0,LTB,20
miR156b,miRNA_one,0,LTB,20
miR156c,miRNA_one,0,LTB,20
miR156d,miRNA_one,105,LTB,20
miR156f,miRNA_one,0,BTL,20
miR157c,miRNA_one,0,Bidirectional,21
miR158a,miRNA_one,31,Bidirectional,21
miR159b,miRNA_one,5,SLTB,21
miR160a,miRNA_one,0,LTB,21
miR160c,miRNA_one,0,LTB,21
miR162a,miRNA_one,1,LTB,22
miR162b,miRNA_one,4,Bidirectional,22
miR164b,miRNA_one,0,Bidirectional,21
miR164c,miRNA_one,0,Bidirectional,21
miR165a,miRNA_one,0,BTL,21
miR166a,miRNA_one,0,Bidirectional,21
miR166b,miRNA_one,0,Bidirectional,21
miR166e,miRNA_one,0,Bidirectional,21
miR167a,miRNA_one,0,BTL,21
miR167c,miRNA_one,3,BTL,21
miR168a,miRNA_one,0,Bidirectional,21
miR168b,miRNA_one,5,BTL,21
miR169a,miRNA_one,0,BTL,21
miR169b,miRNA_one,0,SBTL,21
miR169f,miRNA_one,0,SBTL,21
miR169g,miRNA_one,2,SBTL,21
miR170,miRNA_one,6,BTL,21
miR171a,miRNA_one,0,Bidirectional,21
miR171b,miRNA_one,0,LTB,21
miR171c,miRNA_one,0,LTB,21
miR172b,miRNA_one,1,BTL,20
miR172d,miRNA_one,2,Bidirectional,21
miR172e,miRNA_one,0,Bidirectional,20
miR173,miRNA_one,0,BTL,22
miR2111a,miRNA_one,0,Bidirectional,21
miR2112,miRNA_one,6,LTB,21
miR3440b,miRNA_one,384,LTB,21
miR390a,miRNA_one,7,Bidirectional,21
miR390b,miRNA_one,2,LTB,21
miR391,miRNA_one,0,Bidirectional,21
miR393a,miRNA_one,2,Bidirectional,22
miR393b,miRNA_one,0,BTL,22
miR394b,miRNA_one,0,Bidirectional,20
miR396a,miRNA_one,0,Bidirectional,21
miR396b,miRNA_one,0,Bidirectional,21
miR398a,miRNA_one,6,Bidirectional,21
miR398b,miRNA_one,0,Bidirectional,21
miR398c,miRNA_one,0,Bidirectional,21
miR403,miRNA_one,89,Bidirectional,22
miR408,miRNA_one,1,LTB,21
miR5014a,miRNA_one,116,Bidirectional,21
miR5017,miRNA_one,112,LTB,21
miR5024,miRNA_one,1,SLTB,22
miR5654,miRNA_one,2,LTB,20
miR822,miRNA_one,10,SBTL,21
miR824,miRNA_one,0,Bidirectional,21
miR831,miRNA_one,2,BTL,22
miR833a,miRNA_one,1215,LTB,22
miR841a,miRNA_one,183,LTB,21
miR864,miRNA_one,9,BTL,21
miR868,miRNA_one,0,Bidirectional,21
miR851,miRNA_one,162,BTL,21
miR835,miRNA_one,0,SLTB,21
miR840,miRNA_one,279,SLTB,22
miR472,miRNA_one,0,Bidirectional,21
miR844,miRNA_one,11,Bidirectional,21
miR156a,loop,0,LTB,42
miR156b,loop,984,LTB,39
miR156c,loop,1,LTB,43
miR156d,loop,60,LTB,47
miR156f,loop,1018,BTL,51
miR157c,loop,676,Bidirectional,125
miR158a,loop,7,Bidirectional,22
miR159b,loop,134,SLTB,142
miR160a,loop,1,LTB,39
miR160c,loop,1,LTB,42
miR162a,loop,1,LTB,41
miR162b,loop,532,Bidirectional,44
miR164b,loop,248,Bidirectional,109
miR164c,loop,27,Bidirectional,42
miR165a,loop,655,BTL,57
miR166a,loop,34,Bidirectional,92
miR166b,loop,71,Bidirectional,68
miR166e,loop,227,Bidirectional,91
miR167a,loop,18,BTL,61
miR167c,loop,895,BTL,97
miR168a,loop,8,Bidirectional,64
miR168b,loop,14,BTL,49
miR169a,loop,97,BTL,151
miR169b,loop,243,SBTL,60
miR169f,loop,3,SBTL,65
miR169g,loop,546,SBTL,39
miR170,loop,1,BTL,20
miR171a,loop,281,Bidirectional,48
miR171b,loop,21,LTB,42
miR171c,loop,10,LTB,41
miR172b,loop,1,BTL,46
miR172d,loop,556,Bidirectional,49
miR172e,loop,325,Bidirectional,62
miR173,loop,120,BTL,44
miR2111a,loop,196,Bidirectional,62
miR2112,loop,89,LTB,88
miR3440b,loop,85,LTB,39
miR390a,loop,0,Bidirectional,31
miR390b,loop,166,LTB,52
miR391,loop,275,Bidirectional,30
miR393a,loop,1273,Bidirectional,72
miR393b,loop,2279,BTL,99
miR394b,loop,1005,Bidirectional,56
miR396a,loop,2248,Bidirectional,91
miR396b,loop,260,Bidirectional,75
miR398a,loop,192,Bidirectional,43
miR398b,loop,216,Bidirectional,53
miR398c,loop,168,Bidirectional,52
miR403,loop,49,Bidirectional,55
miR408,loop,23,LTB,46
miR5014a,loop,66,Bidirectional,60
miR5017,loop,0,LTB,24
miR5024,loop,729,SLTB,82
miR5654,loop,658,LTB,34
miR822,loop,2570,SBTL,199
miR824,loop,4323,Bidirectional,572
miR831,loop,592,BTL,109
miR833a,loop,606,LTB,39
miR841a,loop,557,LTB,76
miR864,loop,505,BTL,45
miR868,loop,57,Bidirectional,91
miR851,loop,318,BTL,48
miR835,loop,2865,SLTB,292
miR840,loop,385,SLTB,86
miR472,loop,902,Bidirectional,101
miR844,loop,2,Bidirectional,38
miR156a,miRNA_two,0,LTB,22
miR156b,miRNA_two,0,LTB,23
miR156c,miRNA_two,0,LTB,22
miR156d,miRNA_two,0,LTB,23
miR156f,miRNA_two,2,BTL,21
miR157c,miRNA_two,0,Bidirectional,21
miR158a,miRNA_two,1,Bidirectional,20
miR159b,miRNA_two,0,SLTB,21
miR160a,miRNA_two,0,LTB,21
miR160c,miRNA_two,0,LTB,21
miR162a,miRNA_two,0,LTB,21
miR162b,miRNA_two,0,Bidirectional,21
miR164b,miRNA_two,0,Bidirectional,21
miR164c,miRNA_two,0,Bidirectional,21
miR165a,miRNA_two,0,BTL,21
miR166a,miRNA_two,0,Bidirectional,21
miR166b,miRNA_two,0,Bidirectional,21
miR166e,miRNA_two,0,Bidirectional,21
miR167a,miRNA_two,0,BTL,21
miR167c,miRNA_two,0,BTL,23
miR168a,miRNA_two,1,Bidirectional,21
miR168b,miRNA_two,0,BTL,21
miR169a,miRNA_two,0,BTL,20
miR169b,miRNA_two,7,SBTL,22
miR169f,miRNA_two,1,SBTL,21
miR169g,miRNA_two,0,SBTL,21
miR170,miRNA_two,76,BTL,21
miR171a,miRNA_two,0,Bidirectional,21
miR171b,miRNA_two,0,LTB,21
miR171c,miRNA_two,0,LTB,21
miR172b,miRNA_two,0,BTL,21
miR172d,miRNA_two,0,Bidirectional,21
miR172e,miRNA_two,0,Bidirectional,21
miR173,miRNA_two,5,BTL,21
miR2111a,miRNA_two,2,Bidirectional,21
miR2112,miRNA_two,1,LTB,21
miR3440b,miRNA_two,101,LTB,21
miR390a,miRNA_two,0,Bidirectional,21
miR390b,miRNA_two,1,LTB,20
miR391,miRNA_two,5,Bidirectional,21
miR393a,miRNA_two,1,Bidirectional,21
miR393b,miRNA_two,0,BTL,21
miR394b,miRNA_two,0,Bidirectional,21
miR396a,miRNA_two,14,Bidirectional,21
miR396b,miRNA_two,0,Bidirectional,21
miR398a,miRNA_two,1,Bidirectional,21
miR398b,miRNA_two,0,Bidirectional,21
miR398c,miRNA_two,0,Bidirectional,21
miR403,miRNA_two,0,Bidirectional,21
miR408,miRNA_two,1,LTB,21
miR5014a,miRNA_two,101,Bidirectional,21
miR5017,miRNA_two,17,LTB,21
miR5024,miRNA_two,777,SLTB,21
miR5654,miRNA_two,32,LTB,23
miR822,miRNA_two,9,SBTL,21
miR824,miRNA_two,0,Bidirectional,21
miR831,miRNA_two,125,BTL,22
miR833a,miRNA_two,1,LTB,22
miR841a,miRNA_two,129,LTB,21
miR864,miRNA_two,2,BTL,22
miR868,miRNA_two,44,Bidirectional,21
miR851,miRNA_two,2,BTL,21
miR835,miRNA_two,1,SLTB,21
miR840,miRNA_two,42,SLTB,21
miR472,miRNA_two,9,Bidirectional,22
miR844,miRNA_two,2,Bidirectional,21
miR156a,base_two,39,LTB,25
miR156b,base_two,10,LTB,25
miR156c,base_two,413,LTB,25
miR156d,base_two,0,LTB,25
miR156f,base_two,10,BTL,25
miR157c,base_two,0,Bidirectional,25
miR158a,base_two,94,Bidirectional,25
miR159b,base_two,8,SLTB,25
miR160a,base_two,4,LTB,25
miR160c,base_two,4,LTB,25
miR162a,base_two,3,LTB,25
miR162b,base_two,146,Bidirectional,25
miR164b,base_two,0,Bidirectional,25
miR164c,base_two,1,Bidirectional,25
miR165a,base_two,3,BTL,25
miR166a,base_two,0,Bidirectional,25
miR166b,base_two,0,Bidirectional,25
miR166e,base_two,14,Bidirectional,25
miR167a,base_two,8,BTL,25
miR167c,base_two,0,BTL,25
miR168a,base_two,17,Bidirectional,25
miR168b,base_two,36,BTL,25
miR169a,base_two,0,BTL,25
miR169b,base_two,0,SBTL,25
miR169f,base_two,3,SBTL,25
miR169g,base_two,178,SBTL,25
miR170,base_two,3,BTL,25
miR171a,base_two,20,Bidirectional,25
miR171b,base_two,1,LTB,25
miR171c,base_two,64,LTB,25
miR172b,base_two,15,BTL,25
miR172d,base_two,4,Bidirectional,25
miR172e,base_two,1,Bidirectional,25
miR173,base_two,79,BTL,25
miR2111a,base_two,37,Bidirectional,25
miR2112,base_two,3,LTB,25
miR3440b,base_two,56,LTB,25
miR390a,base_two,2,Bidirectional,25
miR390b,base_two,1,LTB,25
miR391,base_two,3,Bidirectional,25
miR393a,base_two,15,Bidirectional,25
miR393b,base_two,1,BTL,25
miR394b,base_two,0,Bidirectional,25
miR396a,base_two,175,Bidirectional,25
miR396b,base_two,0,Bidirectional,25
miR398a,base_two,8,Bidirectional,25
miR398b,base_two,0,Bidirectional,25
miR398c,base_two,5,Bidirectional,25
miR403,base_two,9,Bidirectional,25
miR408,base_two,15,LTB,25
miR5014a,base_two,139,Bidirectional,25
