name,base_one,miRNA_one,loop,miRNA_two,base_two,patterns
miR156a,10676578,10676553,10676533,10676491,10676469,LTB
miR156b,15074920,15074945,15074965,15075004,15075027,LTB
miR156c,15415535,15415510,15415490,15415447,15415425,LTB
miR156d,3456757,3456732,3456712,3456665,3456642,LTB
miR156f,9136101,9136126,9136146,9136197,9136218,BTL
miR157c,6244718,6244693,6244672,6244547,6244526,Bidirectional
miR158a,3366436,3366411,3366390,3366368,3366348,Bidirectional
miR159b,6220625,6220650,6220671,6220813,6220834,SLTB
miR160a,16340257,16340282,16340303,16340342,16340363,LTB
miR160c,19009203,19009178,19009157,19009115,19009094,LTB
miR162a,2635044,2635019,2634997,2634956,2634935,LTB
miR162b,7740721,7740696,7740674,7740630,7740609,Bidirectional
miR164b,287561,287586,287607,287716,287737,Bidirectional
miR164c,9852659,9852684,9852705,9852747,9852768,Bidirectional
miR165a,79055,79030,79009,78952,78931,BTL
miR166a,19176103,19176128,19176149,19176241,19176262,Bidirectional
miR166b,22922187,22922212,22922233,22922301,22922322,Bidirectional
miR166e,16775681,16775656,16775635,16775544,16775523,Bidirectional
miR167a,8108065,8108090,8108111,8108172,8108193,BTL
miR167c,1306795,1306770,1306749,1306652,1306629,BTL
miR168a,10578627,10578652,10578673,10578737,10578758,Bidirectional
miR168b,18358918,18358893,18358872,18358823,18358802,BTL
miR169a,4359227,4359202,4359181,4359030,4359010,BTL
miR169b,8527486,8527511,8527532,8527592,8527614,SBTL
miR169f,4805844,4805819,4805798,4805733,4805712,SBTL
miR169g,11483139,11483114,11483093,11483054,11483033,SBTL
miR170,26411680,26411655,26411634,26411614,26411593,BTL
miR171a,19073427,19073452,19073473,19073521,19073542,Bidirectional
miR171b,3961475,3961450,3961429,3961387,3961366,LTB
miR171c,22930202,22930177,22930156,22930115,22930094,LTB
miR172b,1188322,1188297,1188277,1188231,1188210,BTL
miR172d,20587896,20587921,20587942,20587991,20588012,Bidirectional
miR172e,23988459,23988484,23988504,23988566,23988587,Bidirectional
miR173,8236136,8236161,8236183,8236227,8236248,BTL
miR2111a,2854286,2854311,2854332,2854394,2854415,Bidirectional
miR2112,234171,234146,234125,234037,234016,LTB
miR3440b,6217474,6217499,6217520,6217559,6217580,LTB
miR390a,16061946,16061971,16061992,16062023,16062044,Bidirectional
miR390b,23636936,23636961,23636982,23637034,23637054,LTB
miR391,24293135,24293160,24293181,24293211,24293232,Bidirectional
miR393a,16652086,16652111,16652133,16652205,16652226,Bidirectional
miR393b,20691632,20691657,20691679,20691778,20691799,BTL
miR394b,28568796,28568821,28568841,28568897,28568918,Bidirectional
miR396a,4142488,4142463,4142442,4142351,4142330,Bidirectional
miR396b,13611783,13611808,13611829,13611904,13611925,Bidirectional
miR398a,1040923,1040948,1040969,1041012,1041033,Bidirectional
miR398b,4691008,4691033,4691054,4691107,4691128,Bidirectional
miR398c,4694680,4694705,4694726,4694778,4694799,Bidirectional
miR403,19415052,19415077,19415099,19415154,19415175,Bidirectional
miR408,19319841,19319866,19319887,19319933,19319954,LTB
miR5014a,24553905,24553930,24553951,24554011,24554032,Bidirectional
miR5017,11963050,11963025,11963004,11962980,11962959,LTB
miR5024,16766434,16766409,16766387,16766305,16766284,SLTB
miR5654,11786269,11786294,11786314,11786348,11786371,LTB
miR822,897332,897307,897286,897087,897066,SBTL
miR824,12625103,12625128,12625149,12625721,12625742,Bidirectional
miR831,10247234,10247259,10247281,10247390,10247412,BTL
miR833a,29525179,29525204,29525226,29525265,29525287,LTB
miR841a,7885438,7885413,7885392,7885316,7885295,LTB
miR864,6740478,6740503,6740524,6740569,6740591,BTL
miR868,6488262,6488287,6488308,6488399,6488420,Bidirectional
miR851,19659691,19659666,19659645,19659597,19659576,BTL
miR835,28544829,28544804,28544783,28544491,28544470,SLTB
miR840,771538,771513,771491,771405,771384,SLTB
miR472,4182311,4182286,4182265,4182164,4182142,Bidirectional
miR844,9942306,9942281,9942260,9942222,9942201,Bidirectional
