name,base_one,miRNA_one,loop,miRNA_two,base_two
miR156a,10676578,10676553,10676533,10676491,10676469
miR156b,15074920,15074945,15074965,15075004,15075027
miR156c,15415535,15415510,15415490,15415447,15415425
miR156d,3456757,3456732,3456712,3456665,3456642
miR156f,9136101,9136126,9136146,9136197,9136218
miR157a,24913321,24913296,24913275,24913225,24913204
miR157b,24921079,24921104,24921125,24921175,24921196
miR157c,6244718,6244693,6244672,6244547,6244526
miR158a,3366436,3366411,3366390,3366368,3366348
miR159b,6220625,6220650,6220671,6220813,6220834
miR160a,16340257,16340282,16340303,16340342,16340363
miR160c,19009203,19009178,19009157,19009115,19009094
miR162a,2635044,2635019,2634997,2634956,2634935
miR162b,7740721,7740696,7740674,7740630,7740609
miR164b,287561,287586,287607,287716,287737
miR164c,9852659,9852684,9852705,9852747,9852768
miR165a,79055,79030,79009,78952,78931
miR166a,19176103,19176128,19176149,19176241,19176262
miR166b,22922187,22922212,22922233,22922301,22922322
miR166e,16775681,16775656,16775635,16775544,16775523
miR167a,8108065,8108090,8108111,8108172,8108193
miR167c,1306795,1306770,1306749,1306652,1306629
miR168a,10578627,10578652,10578673,10578737,10578758
miR168b,18358918,18358893,18358872,18358823,18358802
miR169a,4359227,4359202,4359181,4359030,4359010
miR169b,8527486,8527511,8527532,8527592,8527614
miR169f,4805844,4805819,4805798,4805733,4805712
miR169g,11483139,11483114,11483093,11483054,11483033
miR170,26411680,26411655,26411634,26411614,26411593
miR171a,19073427,19073452,19073473,19073521,19073542
miR171b,3961475,3961450,3961429,3961387,3961366
miR171c,22930202,22930177,22930156,22930115,22930094
miR172b,1188322,1188297,1188277,1188231,1188210
miR172d,20587896,20587921,20587942,20587991,20588012
miR172e,23988459,23988484,23988504,23988566,23988587
miR173,8236136,8236161,8236183,8236227,8236248
miR2111a,2854286,2854311,2854332,2854394,2854415
miR2111b,400377,400402,400423,400464,400485
miR2112,234171,234146,234125,234037,234016
miR2934,5500168,5500143,5500122,5500063,5500042
miR3434,7583349,7583324,7583304,7583151,7583131
miR3440b,6217474,6217499,6217520,6217559,6217580
miR390a,16061946,16061971,16061992,16062023,16062044
miR390b,23636936,23636961,23636982,23637034,23637054
miR391,24293135,24293160,24293181,24293211,24293232
miR3932b,7890740,7890715,7890694,7890610,7890589
miR393a,16652086,16652111,16652133,16652205,16652226
miR393b,20691632,20691657,20691679,20691778,20691799
miR394b,28568796,28568821,28568841,28568897,28568918
miR396a,4142488,4142463,4142442,4142351,4142330
miR396b,13611783,13611808,13611829,13611904,13611925
miR398a,1040923,1040948,1040969,1041012,1041033
miR398b,4691008,4691033,4691054,4691107,4691128
miR398c,4694680,4694705,4694726,4694778,4694799
miR399c,24962472,24962497,24962518,24962568,24962589
miR403,19415052,19415077,19415099,19415154,19415175
miR408,19319841,19319866,19319887,19319933,19319954
miR4228,28889370,28889395,28889416,28889481,28889502
miR447c,1523490,1523465,1523444,1523383,1523361
miR472,4182311,4182286,4182265,4182164,4182142
miR5014a,24553905,24553930,24553951,24554011,24554032
miR5017,11963050,11963025,11963004,11962980,11962959
miR5024,16766434,16766409,16766387,16766305,16766284
miR5632,8392633,8392608,8392587,8392477,8392456
miR5639,10356759,10356784,10356805,10357137,10357161
miR5648,11499509,11499534,11499556,11499747,11499768
miR5654,11786269,11786294,11786314,11786348,11786371
miR5663,18686987,18686962,18686941,18686879,18686858
miR773b,13050828,13050803,13050783,13050745,13050724
miR774b,22150127,22150152,22150173,22150224,22150245
miR8170,14099995,14100020,14100041,14100079,14100100
miR822,897332,897307,897286,897087,897066
miR824,12625103,12625128,12625149,12625721,12625742
miR830,4820519,4820494,4820472,4820426,4820405
miR831,10247234,10247259,10247281,10247390,10247412
miR832,6413034,6413059,6413080,6413275,6413296
miR833a,29525179,29525204,29525226,29525265,29525287
miR835,28544829,28544804,28544783,28544491,28544470
miR837,6520970,6520995,6521016,6521053,6521074
miR840,771538,771513,771491,771405,771384
miR841a,7885438,7885413,7885392,7885316,7885295
miR841b,2184300,2184325,2184346,2184420,2184441
miR844,9942306,9942281,9942260,9942222,9942201
miR846,22577401,22577426,22577447,22577662,22577683
miR851,19659691,19659666,19659645,19659597,19659576
miR861,17838268,17838243,17838222,17838174,17838153
miR862,10718081,10718106,10718127,10718170,10718191
miR863,7846619,7846644,7846665,7846835,7846856
miR864,6740478,6740503,6740524,6740569,6740591
miR865,5169973,5169998,5170019,5170097,5170118
miR866,16157956,16157931,16157910,16157857,16157837
miR868,6488262,6488287,6488308,6488399,6488420
miR870,21395649,21395624,21395603,21395565,21395544
miR829-5p_miR829-3p.2,11834198,11834173,11834152,11834093,11834072
miR1886.2_miR1886.3,15611857,15611882,15611903,15611953,15611974
