name,base_one,miRNA_one,loop,miRNA_two,base_two
miR838,28528,28553,28574,28635,28656
miR5640,1653584,1653559,1653538,1653303,1653282
miR5656,1727284,1727309,1727330,1727351,1727372
miR847,2165545,2165570,2165591,2165675,2165696
miR8166,4525362,4525337,4525315,4525310,4525288
miR169h,6695589,6695564,6695543,6695479,6695460
miR394a,7058182,7058207,7058227,7058279,7058299
miR5999,7400997,7400972,7400951,7400853,7400832
miR781a,7423498,7423523,7423544,7423587,7423609
miR781b,7423630,7423605,7423584,7423540,7423519
miR395a,9363300,9363275,9363254,9363226,9363205
miR395b,9364458,9364483,9364504,9364540,9364561
miR395c,9367067,9367092,9367113,9367149,9367170
miR399a,10227060,10227085,10227107,10227165,10227186
miR167d,11137531,11137556,11137578,11137879,11137900
miR404,11230622,11230597,11230573,11230496,11230472
miR400,11785922,11785947,11785968,11786006,11786027
miR829-3p.1,11834176,11834151,11834127,11834117,11834093
miR2933a,11901418,11901443,11901465,11901467,11901489
miR856,11957462,11957487,11957509,11957689,11957710
miR5630a,12011244,12011219,12011198,12011177,12011152
miR5630b,12023618,12023593,12023572,12023551,12023526
miR5666,12035024,12035049,12035070,12035115,12035136
miR773a,13067230,13067255,13067275,13067313,13067334
miR5645d,16116583,16116608,16116628,16116988,16117008
miR5025,16993888,16993913,16993934,16993986,16994007
miR5664,17386788,17386813,17386834,17386972,17386993
miR161.2,17825697,17825722,17825743,17825809,17825830
miR161.1,17825706,17825731,17825752,17825800,17825821
miR157d,18027033,18027008,18026988,18026856,18026835
miR5636,18549938,18549963,18549984,18550014,18550035
miR5653,19027022,19026997,19026976,19026938,19026914
miR406,19430213,19430188,19430169,19430171,19430150
miR169d,20039601,20039576,20039555,20039518,20039497
miR169e,20041561,20041586,20041607,20041642,20041663
miR5635b,20622717,20622692,20622671,20622582,20622561
miR158b,20772205,20772230,20772252,20772273,20772293
miR5649b,21360265,21360240,21360219,21360179,21360158
miR5649a,21360136,21360161,21360182,21360223,21360244
miR5647,22084659,22084634,22084613,22084330,22084309
miR426,22107334,22107359,22107380,22107424,22107445
miR859,22149710,22149735,22149756,22149808,22149829
miR774a,22149921,22149946,22149967,22150005,22150026
miR5022,22372454,22372479,22372500,22372540,22372561
miR4227,22372665,22372690,22372711,22372751,22372771
miR842,22577095,22577120,22577141,22577194,22577215
miR776,22795612,22795637,22795657,22795699,22795720
miR413,23058014,23058039,23058060,23058135,23058154
miR399b,23345523,23345498,23345477,23345407,23345386
miR5652,23413447,23413422,23413401,23413019,23412999
miR5018,24544009,24543984,24543960,24543790,24543766
miR5014b,24605572,24605547,24605526,24605452,24605431
miR163,24884057,24884082,24884103,24884359,24884383
miR414,25137564,25137539,25137518,25137493,25137472
miR839,25279183,25279158,25279137,25279011,25278989
miR395d,26270090,26270065,26270044,26270009,26269988
miR395e,26272882,26272857,26272836,26272806,26272785
miR395f,26273845,26273870,26273891,26273939,26273960
miR777,26637980,26638005,26638026,26638083,26638105
miR858b,26772624,26772649,26772669,26772907,26772928
miR858a,26773740,26773715,26773694,26773571,26773550
miR159a,27713437,27713412,27713391,27713254,27713233
miR415,27986993,27987018,27987039,27987103,27987126
miR402,29016561,29016586,29016608,29016764,29016785
miR775,29422438,29422463,29422482,29422546,29422566
miR833b,29525309,29525284,29525263,29525221,29525200
miR5642b,2794,2819,2840,3145,3165
miR8180,2063889,2063914,2063932,2063980,2063999
miR5646,3517474,3517449,3517427,3517402,3517382
miR8175,3740802,3740827,3740847,3740938,3740958
miR855,4674408,4674433,4674455,4674674,4674695
miR5020c,4770525,4770550,4770571,4770616,4770637
miR8168,5080615,5080640,5080660,5080690,5080711
miR416,7008503,7008528,7008553,7008576,7008597
miR5013,7166843,7166868,7166889,7166910,7166931
miR156g,8412633,8412608,8412588,8412543,8412522
miR5012,8432662,8432687,8432708,8432747,8432768
miR8167a,8894909,8894934,8894957,8894985,8895007
